City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Hovd,MN,48.01,91.64,52.18,59,9,0.63,clear sky
143,Pointe-Noire,CG,-4.78,11.86,73.4,83,40,9.17,scattered clouds
144,Kalmunai,LK,7.42,81.82,79.75,80,100,6.49,overcast clouds
145,Fredericksburg,US,38.3,-77.46,82.4,48,40,6.93,scattered clouds
146,Savonlinna,FI,61.87,28.88,53.6,93,100,8.05,light rain
147,Sidmouth,GB,50.69,-3.24,52.0,81,100,2.59,overcast clouds
148,Nakusp,CA,50.25,-117.8,68.0,37,37,4.0,scattered clouds
149,Dwarka,IN,22.24,68.97,81.37,83,100,19.13,moderate rain
150,Pasni,PK,25.26,63.47,80.89,87,0,16.22,clear sky
151,Farsund,NO,58.09,6.8,57.99,73,0,3.0,clear sky
152,Provideniya,RU,64.38,-173.3,53.6,66,75,17.9,broken clouds
153,Severo-Kurilsk,RU,50.68,156.12,51.46,84,20,15.84,few clouds
154,Souillac,MU,-20.52,57.52,69.8,88,40,14.99,shower rain
155,Maumere,ID,-8.62,122.21,76.28,68,1,4.81,clear sky
156,Midland,US,32.0,-102.08,102.2,15,1,11.41,clear sky
157,Gorontalo,ID,0.54,123.06,75.69,84,90,2.77,light rain
158,Jacobabad,PK,28.28,68.44,85.69,64,99,7.18,moderate rain
159,Chuy,UY,-33.7,-53.46,44.4,76,91,5.7,overcast clouds
160,Vostok,RU,46.49,135.88,49.15,80,99,4.41,overcast clouds
161,Voh,NC,-20.97,164.7,71.76,54,4,4.7,clear sky
162,Sakakah,SA,29.97,40.21,91.4,9,0,6.93,clear sky
163,Talnakh,RU,69.49,88.4,44.6,100,90,11.18,fog
164,Oksfjord,NO,70.24,22.35,37.99,93,85,6.93,overcast clouds
165,Conakry,GN,9.54,-13.68,78.44,85,100,14.52,moderate rain
166,Tazovskiy,RU,67.47,78.7,40.57,91,2,5.68,clear sky
167,Oskemen,KZ,49.96,82.61,50.0,87,0,2.04,clear sky
168,Isangel,VU,-19.55,169.27,71.6,78,90,17.67,overcast clouds
169,Vestmanna,FO,62.16,-7.17,50.0,100,96,10.29,overcast clouds
170,Fortuna,US,40.6,-124.16,73.0,48,20,14.99,few clouds
171,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
172,Haag,NL,52.08,4.3,60.01,87,90,11.41,overcast clouds
173,Hailey,US,43.52,-114.32,75.2,19,5,14.99,clear sky
174,Domoni,KM,-12.26,44.53,73.76,72,29,3.47,scattered clouds
175,Along,IN,28.17,94.77,71.53,89,100,0.94,overcast clouds
176,Roald,NO,62.58,6.13,50.0,76,3,10.29,clear sky
177,Eyl,SO,7.98,49.82,78.8,69,99,20.8,overcast clouds
178,Lavrentiya,RU,65.58,-171.0,50.95,71,25,23.51,scattered clouds
179,Cocobeach,GA,1.0,9.58,77.0,88,40,11.41,scattered clouds
180,Nabire,ID,-3.37,135.48,76.23,83,85,2.62,overcast clouds
181,Flinders,AU,-34.58,150.86,64.0,69,12,8.01,few clouds
182,Aljezur,PT,37.32,-8.8,59.0,83,0,1.99,clear sky
183,Avera,US,33.19,-82.53,91.99,55,1,4.7,clear sky
184,Madimba,TZ,-10.4,40.33,69.8,88,20,5.82,few clouds
185,Kovdor,RU,67.57,30.48,43.25,82,69,1.25,broken clouds
186,Sechura,PE,-5.56,-80.82,69.24,64,43,18.97,scattered clouds
187,Kenai,US,60.55,-151.26,61.0,51,75,10.29,broken clouds
188,Rafaela,AR,-31.25,-61.49,57.0,25,76,1.99,broken clouds
189,Micheweni,TZ,-4.97,39.83,75.07,80,98,9.98,overcast clouds
190,Talara,PE,-4.58,-81.27,64.76,79,12,16.17,few clouds
191,Ancud,CL,-41.87,-73.82,48.99,84,90,1.99,overcast clouds
192,Balakovo,RU,52.03,47.8,62.15,62,88,2.48,overcast clouds
193,Salalah,OM,17.02,54.09,77.0,100,90,2.24,overcast clouds
194,Kemijarvi,FI,66.71,27.43,45.41,78,81,1.41,broken clouds
195,Brokopondo,SR,4.75,-55.17,85.53,65,36,3.65,scattered clouds
196,Zyryanovsk,KZ,49.74,84.27,49.68,75,0,1.9,clear sky
197,Antri,IN,26.06,78.21,75.56,87,0,6.62,clear sky
198,Manggar,ID,-2.88,108.27,81.54,79,79,14.34,broken clouds
199,Wajima,JP,37.4,136.9,78.37,83,73,8.1,broken clouds
200,Poya,NC,-21.35,165.15,69.62,57,7,4.59,clear sky
201,Caxito,AO,-8.58,13.66,69.8,83,40,5.82,scattered clouds
202,Farafangana,MG,-22.82,47.83,68.27,89,4,7.49,light rain
203,Bagdarin,RU,54.43,113.6,46.08,88,81,2.37,broken clouds
204,Dromolaxia,CY,34.88,33.59,88.0,28,0,5.82,clear sky
205,Pudozh,RU,61.81,36.53,44.24,94,44,3.33,scattered clouds
206,Kyshtovka,RU,56.55,76.63,56.35,90,67,6.26,broken clouds
207,Sandpoint,US,48.28,-116.55,75.99,17,1,8.05,clear sky
208,Oranjemund,NA,-28.55,16.43,51.04,56,23,16.78,few clouds
209,Seddon,AU,-37.81,144.89,48.0,87,40,9.17,scattered clouds
210,Thinadhoo,MV,0.53,72.93,82.31,74,98,10.04,overcast clouds
211,Meulaboh,ID,4.14,96.13,76.64,87,100,4.38,light rain
212,Ilulissat,GL,69.22,-51.1,44.01,61,0,6.85,clear sky
213,Cidreira,BR,-30.18,-50.21,56.01,91,100,11.68,light rain
214,Saint-Philippe,RE,-21.36,55.77,69.8,68,35,5.82,light rain
215,Atar,MR,20.52,-13.05,93.2,16,1,8.12,clear sky
216,Labuan,MY,5.28,115.24,80.6,88,20,2.24,thunderstorm
217,Bauchi,NG,10.5,10.0,71.69,91,91,1.57,moderate rain
218,Udachnyy,RU,66.42,112.4,46.4,75,90,4.47,light intensity shower rain
219,Filadelfia,US,39.95,-75.16,80.6,39,75,11.41,broken clouds
220,Hami,CN,42.8,93.45,66.94,26,0,8.95,clear sky
221,Jablah,SY,35.36,35.93,73.4,64,0,4.7,clear sky
222,Truckee,US,39.33,-120.18,86.0,13,20,14.99,smoke
223,Monastyryshche,UA,48.99,29.8,69.04,44,0,9.66,clear sky
224,Pisco,PE,-13.7,-76.22,64.0,77,88,9.17,overcast clouds
225,Evensk,RU,61.95,159.23,52.77,55,3,4.47,clear sky
226,Riverton,US,40.52,-111.94,87.01,19,1,19.46,clear sky
