City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Matara,LK,79.54,moderate rain,5.95,80.54,Amaloh Boutique Resort
465,Suzhou,CN,82.0,clear sky,31.31,120.62,Holiday Inn Jasmine Suzhou
466,Linda,US,89.6,haze,39.13,-121.55,Comfort Suites Marysville-Yuba City
469,Jacareacanga,BR,79.52,scattered clouds,-6.22,-57.75,Casa do Ian😎
473,Ranong,TH,80.17,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
474,Sola,VU,82.4,broken clouds,-13.88,167.55,Leumerus Bungalows
476,Bilma,NE,89.69,light rain,18.69,12.92,Expeditions Ténére voyages
481,Rairangpur,IN,76.82,overcast clouds,22.27,86.18,Krishna Saloon
484,Pathein,MM,78.49,overcast clouds,16.78,94.73,Pathein Hotel
485,Ahuimanu,US,87.8,broken clouds,21.44,-157.84,Paradise Bay Resort
486,Padang,ID,77.23,overcast clouds,-0.95,100.35,Mercure Padang
490,Mitsamiouli,KM,76.15,clear sky,-11.38,43.28,Foyer ADM
498,Daru,PG,77.9,light rain,-9.08,143.21,New century hotel
505,Balabac,PH,81.41,overcast clouds,7.99,117.06,Sing and Swing Lodge
506,Jaguaribe,BR,87.51,broken clouds,-5.89,-38.62,Hotel Pinheiro
510,Belmonte,BR,75.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
517,Pemangkat,ID,77.59,moderate rain,1.17,108.97,Kost H.Syamsuddin
526,Tura,IN,75.06,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
528,Camocim,BR,80.87,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
